tx_month,tx_count,tx_inputs,tx_outputs,tx_input_val,tx_output_val,cjs_month,cjs_count,cjs_inputs,cjs_outputs,cjs_input_val,cjs_output_val,tx_percent,utxos_percent,cjs_percent,value_percent
2019-09-01,1188821,2516075,3007755,3629410.7322219,3636148.2322219,2019-09-01,10437,44056,285615,158931.23054268,158926.84232027,0.87792863685954392,5.62346707626826,19.509234637455354,4.3789817
2019-08-01,10169294,21774861,26097281,75384525.70128141,75442975.70128141,2019-08-01,84699,359330,2712701,23637374.13937938,23637318.33383066,0.83288967749383591,6.02238950053115,21.197454524768357,31.3557377
2019-07-01,10305251,22776064,26931620,58986588.2270026,59046213.2270026,2019-07-01,111306,489612,3443483,8224073.13347966,8223977.49390881,1.0800901404536387,7.4678501819523682,25.250237801438807,13.9422763
2019-06-01,10486006,24493585,28515045,50143614.52814962,50200102.02814962,2019-06-01,120869,1055548,4401775,4102373.71834135,4102083.89946901,1.152669567421571,9.8730815937072212,29.808364809108362,8.1812485
2019-05-01,11505497,25319479,30280871,38797230.34935063,38856242.84935063,2019-05-01,130066,1053223,4103438,3413745.1126856,3413444.86108037,1.1304683317895785,8.8554944712213164,26.509934285250424,8.7989402
2019-04-01,11003022,22867391,27612620,45349874.56355155,45404099.56355155,2019-04-01,114660,717629,3160447,4362652.07146382,4362500.74959158,1.0420773492954936,7.2919406374178761,22.496191670055449,9.6199871
2019-03-01,9457625,20556943,23729106,39572570.75059685,39629445.75059685,2019-03-01,94732,465951,2576627,3761151.04095045,3761107.19347258,1.001646819365327,6.5625720953245539,21.580658183913592,9.5044395
2019-02-01,9269096,18902919,22204466,51758340.33382227,51809902.83382152,2019-02-01,69064,297625,1961669,2463790.70997369,2463761.58643312,0.7450996299962801,5.2045309321433395,17.575000441240991,4.7601811
2019-01-01,9222178,18804733,22242070,34531370.10740013,34587932.60739934,2019-01-01,71797,307808,2021326,1768863.35248922,1768837.6803408,0.7785254199170738,5.3623573465021517,18.093260054170774,5.1224824
2018-12-01,8196417,19020399,20203575,36516614.53833248,36571302.03833172,2018-12-01,55980,283747,1995723,3348853.9578425,3348823.12130226,0.68298135636583646,5.6849361124155875,19.689142633896861,9.1707679
2018-11-01,8054376,18653157,20077263,31564159.63000018,31612534.62999724,2018-11-01,56950,319019,2010764,2214847.30617657,2214808.25065032,0.70706905165589484,5.86269909175487,20.091185319223555,7.016969
2018-10-01,7580518,18657869,19359440,26256223.32280316,26310960.82280166,2018-10-01,69211,328591,2256488,1437978.90394055,1437948.77858156,0.91301148549479072,6.7084446662987833,23.101303825479548,5.4767165
2018-09-01,6871444,16629262,17790418,27246872.49442977,27302109.99442065,2018-09-01,59802,314427,2005478,1327889.01184709,1327859.98203087,0.8702974222012142,6.5818020731055595,22.74527283285245,4.8735465
2018-08-01,6730044,17279440,18137363,29936436.69649837,29996474.1964811,2018-08-01,61896,281029,2451112,1529884.33652439,1529852.90650779,0.91969681030317185,7.5702682644619284,26.87840899371221,5.1104423
2018-07-01,6393536,18537727,17340552,27972626.434988,28030701.43470744,2018-07-01,60629,302829,2421575,1584459.03026509,1584425.79294729,0.94828589375269023,7.79919567396049,27.660974115887154,5.6643198
